clip,foff,corrupt_sample_frac,saturated_frac,affected_chirp_frac,interfered_frame_rate,inr_db
BASELINE,0,8.138020833333333e-05,0.0,0.014322916666666666,0.175,8.344471454620361
clip_a0_p0_f0_s90_20260618_131433,0,9.663899739583333e-05,0.0,0.014322916666666666,0.48333333333333334,8.711208820343018
