clip,foff,corrupt_sample_frac,saturated_frac,affected_chirp_frac,interfered_frame_rate,inr_db
BASELINE,0,0.00013478597005208332,0.0,0.01953125,0.9416666666666667,10.209321022033691
clip_a0_p0_f0_s60_20260618_131835,0,0.00013224283854166666,0.0,0.018229166666666668,0.9583333333333334,10.140931129455566
clip_a0_p0_f0_s60_20260618_131905,0,0.00013224283854166666,0.0,0.018229166666666668,0.9,10.161287784576416
clip_a0_p0_f0_s60_20260618_131922,0,0.0001373291015625,0.0,0.01953125,0.9583333333333334,10.13844347000122
clip_a0_p0_f0_s60_20260618_132006,0,0.0001373291015625,0.0,0.020182291666666664,0.925,10.116365909576416
