clip,foff,corrupt_sample_frac,saturated_frac,affected_chirp_frac,interfered_frame_rate,inr_db
BASELINE,0,0.0001373291015625,0.0,0.018229166666666668,0.95,10.27426815032959
clip_a0_p0_f0_s30_20260618_133527,0,0.00013224283854166666,0.0,0.018229166666666668,0.9333333333333333,9.955635070800781
clip_a0_p0_f0_s30_20260618_133757,0,0.00013478597005208332,0.0,0.01953125,0.925,11.440163135528564
clip_a0_p0_f0_s30_20260618_133823,0,0.0001373291015625,0.0,0.018229166666666668,0.9416666666666667,11.48345947265625
