clip,foff,corrupt_sample_frac,saturated_frac,affected_chirp_frac,interfered_frame_rate,inr_db
BASELINE,0,0.0001068115234375,0.0,0.01953125,0.7,12.081791877746582
clip_a0_p0_f0_s120_20260618_130145,0,0.00010172526041666667,0.0,0.016927083333333332,0.5416666666666666,10.724473476409912
clip_a0_p0_f0_s120_20260618_130206,0,0.00010172526041666667,0.0,0.015625,0.5083333333333333,10.715134143829346
clip_a0_p0_f0_s120_20260618_130232,0,0.00010172526041666667,0.0,0.015625,0.5166666666666667,10.691134452819824
